
Setting	Skin Colour	Fangs	Reflection	Film	Shadow
European folklore	Ruddy/Dark	Yes	Varies		Varies
North American folklore	Pale	Yes	No		Yes
The Vampyre (1819)		No			
Varney the Vampire (1845)	White and bloodless	Yes			
Carmilla (1871)	Rich and brilliant	Yes	Yes		Yes
Bram Stoker's Dracula (1897)	Pale	Yes	No		No
Nosferatu (1922)	Pale/Dark	Shark/Rodent-like	Yes	Yes	Yes
Dark Shadows (1966)	Ordinary	Retractable	No		Yes
Blade Vampire	Ordinary/Pale	Yes	Yes	Yes	Yes
Blade Reapers	Pale and Mottled	Yes	Yes	Yes	Yes
Count Chocula (1971)	Tanned	Yes	Yes		Yes
Sesame Street (1972)	Lavender	Yes	No		Yes
Dungeons & Dragons (1974)	Pale	Yes	No		No
Blade (1973)	Ordinary/Pale	Yes	Yes		Yes
Ultraviolet (TV serial) (1998)	Ordinary/Pale	Yes	No		Yes
Anne Rice's Vampire Chronicles (1979)	Pale	Yes	Yes		Yes
Bunnicula (1979)	Furry	Yes	No		Yes
The Hunger (1981)	Pale	No	Yes		Yes
Count Duckula (1983)	Green	Sometimes	No		No
Vampire Hunter D (1983)	Pale	Yes	No		Yes
Necroscope (1986)	Pale	Yes	Yes		Yes
The Lost Boys (1987) Full vampires	Ordinary/Pale	Retractable	No		Yes
The Lost Boys (1987) Half-vampire (pre-turning)	Ordinary	Gradually gain	No		No
The Little Vampire (TV series, 1986)	Pale	Yes	Yes		Yes
The Little Vampire (film, 2000)	Pale	Yes	Yes		Yes
The Vampire Diaries (Novel and television series)	Ordinary	Retractable	Yes		Yes
World of Darkness (1992)	Varies	Retractable	Yes	Yes	Yes
Buffy the Vampire Slayer (movie) (1992)	Pale	Yes	No		Yes
Forever Knight (1992)	Pale	Retractable	Yes		Yes
Discworld (1992)	Pale	Yes	No		?
Anita Blake: Vampire Hunter (1993)	Pale	Yes	Yes		Yes
Preacher (1995)	Pale	No	Yes		Yes
Legacy of Kain (1996)	Varies	Yes	Yes		Yes
Night World (1996)	Ordinary	Retractable	Yes		Yes
Hellsing (1997) (2006-12)	Ordinary	Yes	No		Yes
Buffy the Vampire Slayer TV series (1997)	Ordinary	Yes	No	Yes	Yes
Night Watch (1998)	Ordinary	Retractable	Yes		Yes
John Carpenter's Vampires (1998)	Pale	Yes	Yes		Yes
Den of Shadows	Pale	Yes	Faint reflection that disappears with age		Yes
The Saga of Darren Shan (2000)	Ordinary/Pale	No	Yes	No	Yes
30 Days of Night (2002)	Pale	Yes	Yes		Yes
Let the Right One In (2002)	Pale	Retractable	Yes		Yes
Moon Child (2003)	Ordinary				Yes
Underworld (2003)	Pale	Retractable	Yes		Yes
Chibi Vampire/Karin (2003)	Pale	Yes	Yes		Yes
Van Helsing (2004)	Pale	Retractable	No		Yes
Supernatural (2005)	Ordinary	Retractable	Yes		Yes
Batman & Dracula	Pale	Yes	No		Yes
Twilight (2005)	Pale	No	Yes	Yes	Yes
Frostbiten (2006)	Pale	Yes	No		Yes
Young Dracula (2006)	Pale	Retractable	Lost after age of 16	Implied that only digital cameras work	Yes
JoJo's Bizarre Adventure	Ordinary	Varies	Yes		Yes
Vampire Academy (2007)	Pale	Yes	Moroi yes, Strigoi no		Yes
House of Night (2007) Blue Vampyres	Pale with sapphire markings	Yes	Yes		Yes
House of Night (2007) Red Vampyres	Pale with red markings	Yes	Yes		Unknown
Blindsight (2007)	Pale	Yes	Yes	Yes	Yes
True Blood (2008)	Pale	Retractable	Yes	Yes	Yes
Being Human (BBC) (2008)	Ordinary	Retractable	No	No	Yes
Being Human (Syfy)	Ordinary	Retractable	Yes	Yes	Yes
Moonlight (2008)	Ordinary	Retractable	Yes		Yes
The Parasol Protectorate (2009)	Pale	Yes	?		?
Abraham Lincoln, Vampire Hunter (2010) novel and film	Pale/White/Grey	Retractable	Yes		Yes
Daybreakers (2010)	Ordinary	Yes	No		Unknown
American Vampire (2010) Old World bloodline	Pale	Yes	?		?
American Vampire (2010) American bloodline	Normal	Yes	Distorted		?
